acid,SCN14,SCN14code,
PI476922,5,4.8,8
PI476923,5,4.300000191,8
PI476924,4,3.400000095,8
PI476925,5,5,8
PI476926,5,4.800000191,8
PI476927,5,4.699999809,8
PI476928,5,4.400000095,8
PI476929,5,4.400000095,8
PI476930,5,5,8
PI476931,5,4.599999905,8
PI476932,5,4.599999905,8
PI476933,5,4.199999809,8
PI476934,5,5,8
PI476936,5,4.7,8
PI476938,5,5,8
PI476939,5,4.4,8
PI476942,5,5,8
PI476943,5,4.300000191,8
PI479709,5,4.8,8
PI479710,5,5,8
PI479711,5,5,8
PI479712,5,5,8
PI479713,5,4.7,8
PI479714,5,5,8
PI479715,5,4.7,8
PI479717,5,5,8
PI479719,5,4.8,8
PI479720,5,4.8,8
PI479721,5,4.6,8
PI479722,5,5,8
PI479723,5,4.9,8
PI479726,5,5,8
PI479727,5,4.8,8
PI479729,5,5,8
PI479730,5,5,8
PI479731,5,5,8
PI479732,5,5,8
PI479734,5,5,8
PI479735,5,4.8,8
PI479736,5,5,8
PI479737,5,5,8
PI479738,5,5,8
PI479740,5,4.8,8
PI479741,5,5,8
PI479742,5,4.3,8
PI479743,5,4.7,8
PI479757,5,5,8
PI479758,5,5,8
PI479759,5,5,8
PI479761,5,4.7,8
PI479762,5,5,8
PI481679,5,4.699999809,8
PI481683,5,4.300000191,8
PI481686,5,5,8
PI481690,5,5,8
PI481691,5,4.5,8
PI482602,5,4,8
PI483083,5,4.699999809,8
PI483084,5,5,8
PI486328,5,4.099999905,8
PI486329,5,4.400000095,8
PI486330,5,4.400000095,8
PI486332,4,3.400000095,8
PI486335,5,4.800000191,8
PI486353,5,5,8
PI486355,5,4.2,8
PI490765,5,4.8,8
PI490766,5,4.9,8
PI490767,5,4.3,8
PI490768,5,4,8
PI490769,2,,8
PI491548,5,4.9,8
PI491578,5,4.8,8
PI491579,5,5,8
PI494181,5,5,8
PI494182,4,,8
PI494525,5,5,8
PI494526,5,5,8
PI494752,5,4.300000191,8
PI494851,5,5,8
PI495019,5,4.199999809,8
PI495020,5,5,8
PI495831,5,5,8
PI495832,5,5,8
PI497952,5,5,8
PI497955,5,5,8
PI497957,5,4.6,8
PI497958,5,5,8
PI497960,5,5,8
PI497961,5,4.8,8
PI497962,5,4.8,8
PI497965,5,5,8
PI497967,5,5,8
PI497968,5,4.8,8
PI499955,5,5,8
PI499957,5,5,8
PI500648,5,5,8
PI503333,5,5,8
PI503334,5,5,8
PI503335,5,5,8
PI503336,5,5,8
PI503337,5,5,8
PI503338,5,5,8
PI503340,5,5,8
PI504480,5,5,8
PI504481,5,5,8
PI504482,5,5,8
PI504484,5,5,8
PI504485,5,5,8
PI504486,5,5,8
PI504487,5,5,8
PI504488,5,5,8
PI504489,5,5,8
PI504490,5,5,8
PI504492,5,5,8
PI504493,5,5,8
PI504494,5,5,8
PI504495,5,5,8
PI504496,5,5,8
PI504497,5,5,8
PI504498,5,5,8
PI504499,5,5,8
PI504500,5,5,8
PI504501,5,5,8
PI504502,5,5,8
PI504503,5,5,8
PI504504,5,5,8
PI504506,5,5,8
PI504507,5,5,8
PI504508,5,5,8
PI504509,5,5,8
PI504812,5,5,8
PI506420,5,5,8
PI506471,5,5,8
PI506472,5,5,8
PI506473,5,4.5,8
PI506474,5,4.7,8
PI506475,5,5,8
PI506476,5,5,8
PI506477,5,4.9,8
PI506478,5,5,8
PI506479,5,5,8
PI506480,5,5,8
PI506481,5,5,8
PI506482,5,4.9,8
PI506483,5,5,8
PI506484,5,5,8
PI506485,5,5,8
PI506486,5,4.6,8
PI506487,5,4.8,8
PI506488,5,4.7,8
PI506489,5,5,8
PI506490,5,4.8,8
PI506491,5,4.7,8
PI506492,5,5,8
PI506493,5,4.6,8
PI506494,5,4.2,8
PI506495,5,5,8
PI506496,5,4.9,8
PI506497,5,4.3,8
PI506498,5,4.8,8
PI506499,5,4.8,8
PI506500,5,4.6,8
PI506501,5,4.6,8
PI506502,5,4.2,8
PI506503,4,3.8,8
PI506504,5,4.8,8
PI506505,5,5,8
PI506506,5,4.8,8
PI506507,5,4.7,8
PI506508,5,4.7,8
PI506509,5,5,8
PI506510,5,4.8,8
PI506511,5,4.5,8
PI506512,5,4.3,8
PI506513,5,4.8,8
PI506514,5,4.8,8
PI506515,5,5,8
PI506516,5,5,8
PI506517,5,5,8
PI506518,5,4.8,8
PI506519,5,4.7,8
PI506520,5,4.8,8
PI506521,5,4.7,8
PI506523,5,5,8
PI506524,5,5,8
PI506525,5,5,8
PI506526,5,5,8
PI506527,5,5,8
PI506528,5,5,8
PI506529,5,5,8
PI506530,5,5,8
PI506531,5,5,8
PI506532,5,5,8
PI506533,5,5,8
PI506534,5,5,8
PI506535,5,5,8
PI506536,5,5,8
PI506537,5,5,8
PI506538,5,5,8
