acid,RUST,
PI424266,3.5,8
PI424297,4.3,8
PI424302,3,8
PI424304,3.3,8
PI424312,4,8
PI424314,4,8
PI424319,3.7,8
PI424325,4,8
PI424331,3,8
PI424339,3.7,8
PI424352,3.7,8
PI424353,3.7,8
PI424360,3.3,8
PI424366,4.3,8
PI424373,2.7,8
PI424374,3.7,8
PI424375,3,8
PI424383,3.7,8
PI424395,4.7,8
PI424400,3.7,8
PI424401,4.3,8
PI424403,3.7,8
PI424408,4.3,8
PI424418,4,8
PI424420,2.7,8
PI424425,3.7,8
PI424430,4.3,8
PI424433,2.5,8
PI424435,3.7,8
PI424440,3.5,8
PI424450,2.7,8
PI424451,3,8
PI424452,4.7,8
PI424456,3,8
PI424463,4.3,8
PI424479,3.7,8
PI424485,4,8
PI424494,4,8
PI424495,4.7,8
PI424506,3.3,8
PI424510,3.3,8
PI424515,3,8
PI424534,3,8
PI424539,2,8
PI424540,4,8
PI424541,4.3,8
PI424561,3.7,8
PI424567,3.7,8
PI424578,2,8
PI424585,3,8
PI424589,4,8
PI424596,2.7,8
PI424598,3,8
PI424613,4.3,8
PI427136,3.7,8
PI427241,3.2,8
PI429329,2.9,8
PI429330,3.7,8
PI430594,4,8
PI430595,3.7,8
PI430596,4,8
PI430620,3.3,8
PI432359,3,8
PI436563,4.3,8
PI436565,3.3,8
PI436611,4.3,8
PI436612,3.7,8
PI436617,4.5,8
PI436683,4.3,8
PI437074,4,8
PI437075,4,8
PI437082,4,8
PI437102,3.7,8
PI437106,4,8
PI437107,4.3,8
PI437123,5,8
PI437140,3,8
PI437142,3.7,8
PI437147,4,8
PI437151,2.8,8
PI437158,4.3,8
PI437179,3.3,8
PI437180,4,8
PI437182,3,8
PI437196,3.3,8
PI437198,3.7,8
PI437199,4,8
PI437222,3,8
PI437233,3,8
PI437235,3.7,8
PI437236,3.7,8
PI437241,3,8
PI437249,3,8
PI437258,3.7,8
PI437259,4.5,8
PI437263,3,8
PI437268,3.5,8
PI437269,3,8
PI437285,2.7,8
PI437303,3.3,8
PI437305,3.7,8
PI437314,3.3,8
PI437321,3,8
PI437322,3.5,8
PI437323,2.8,8
PI437328,3.7,8
PI437334,4.3,8
PI437341,4.3,8
PI437352,4.5,8
PI437368,4,8
PI437369,3.7,8
PI437370,3.3,8
PI437371,4.3,8
PI437421,3.7,8
PI437430,4.3,8
PI437454,3,8
PI437460,4,8
PI437470,3.3,8
PI437471,2.7,8
PI437472,3.7,8
PI437486,3.7,8
PI437487,3.7,8
PI437497,3,8
PI437498,3.3,8
PI437518,3,8
PI437519,3.3,8
PI437527,1.5,8
PI437530,3.7,8
PI437534,2,8
PI437539,3,8
PI437542,3.7,8
PI437554,4,8
PI437556,3.7,8
PI437564,3.7,8
PI437570,3,8
PI437576,4.3,8
PI437578,4,8
PI437582,4,8
PI437618,3,8
PI437627,4,8
PI437628,4,8
PI437639,3.3,8
