acid,SCN5,
PI174860,4,8
PI174861,5,8
PI174862,5,8
PI174863,5,8
PI174866,4,8
PI174867,5,8
PI174868,5,8
PI175174,5,8
PI175175,5,8
PI175176,5,8
PI175177,4,8
PI175178,4,8
PI175179,4,8
PI175180,5,8
PI175181,5,8
PI175182,5,8
PI175183,5,8
PI175184,5,8
PI175185,5,8
PI175186,5,8
PI175187,5,8
PI175188,5,8
PI175189,5,8
PI175190,5,8
PI175191,5,8
PI175192,4,8
PI175193,5,8
PI175194,4,8
PI175195,5,8
PI175196,5,8
PI175197,5,8
PI175198,5,8
PI175199,5,8
PI179822,5,8
PI179823,5,8
PI179825,5,8
PI179826,5,8
PI179935,5,8
PI180051,5,8
PI180445,5,8
PI180499,5,8
PI180501,5,8
PI180502,5,8
PI180507,5,8
PI180508,5,8
PI180509,5,8
PI180516,5,8
PI180517,5,8
PI180519,5,8
PI180521,5,8
PI180524,4,8
PI180525,4,8
PI180529,4,8
PI180530,4,8
PI180532,4,8
PI181531,4,8
PI181532,4,8
PI181533,4,8
PI181534,4,8
PI181535,5,8
PI181536,5,8
PI181537,4,8
PI181538,4,8
PI181539,5,8
PI181540,4,8
PI181541,4,8
PI181542,4,8
PI181543,5,8
PI181544,4,8
PI181545,5,8
PI181546,5,8
PI181547,5,8
PI181548,4,8
PI181549,5,8
PI181550,5,8
PI181551,4,8
PI181552,5,8
PI181553,4,8
PI181554,5,8
PI181555,5,8
PI181556,5,8
PI181557,4,8
PI181558,5,8
PI181559,4,8
PI181560,4,8
PI181562,5,8
PI181564,5,8
PI181565,4,8
PI181566,5,8
PI181567,5,8
PI181568,5,8
PI181570,4,8
PI181571,4,8
PI181696,5,8
PI181697,4,8
PI181698,4,8
PI183900,5,8
PI183929,5,8
PI183930,5,8
PI184042,5,8
