acid,Fe2
PI378680C,2
PI347552B,2
PI398242,2
PI274207,2
PI548593,2
PI398451,2
PI415073B,2
PI408072,2
PI398463,2
PI361118,2
PI424205,2
PI398278,2
PI548523,2
PI404161,3
PI283331,3
PI274421,3
PI404198A,3
PI339868B,3
PI407729,3
PI291309D,3
PI423814A,3
PI398763,3
PI424405C,3
PI398791,3
PI399073,3
PI399092,3
PI407720,3
PI405690,3
PI407721,3
PI407904,3
PI407906,3
PI408015,3
PI408055B,3
PI408074A,3
PI408201A,3
PI408319C,3
PI408329,3
PI407770,3
PI408131B,3
PI408200A,3
PI408319A,3
PI424570,3
PI407966B,3
PI408021,3
PI408103,3
PI408181A,3
PI408186B,3
PI424135,3
