acid,bp488001,
PI398348,3,8
PI398351,2,8
PI398352,3,8
PI398353,2,8
PI398354,1,8
PI398361,1,8
PI398362,3,8
PI398363,2,8
PI398364,4,8
PI398365,2,8
PI398369,4,8
PI398370,4,8
PI398372,2,8
PI398373,4,8
PI398376,3,8
PI398377,2,8
PI398378,2,8
PI398381,2,8
PI398387,2,8
PI398390,2,8
PI398391,2,8
PI398393,3,8
PI398399,2,8
PI398400,3,8
PI398402,2,8
PI398403,3,8
PI398407,2,8
PI398409,4,8
PI398411,2,8
PI398413,1,8
PI398418,3,8
PI398422,5,8
PI398423,5,8
PI398424,5,8
PI398427,5,8
PI398428,3,8
PI398432,2,8
PI398433,2,8
PI398434,2,8
PI398436,2,8
PI398437,3,8
PI398438,2,8
PI398445,1,8
PI398447,2,8
PI398448,2,8
PI398449,3,8
PI398452,2,8
PI398453,3,8
PI398454,3,8
PI398455,3,8
PI398456,3,8
PI398457,2,8
PI398458,2,8
PI398459,2,8
PI398460,2,8
PI398461,3,8
PI398462,2,8
PI398465,3,8
PI398466,2,8
PI398467,3,8
PI398468,3,8
PI398469,2,8
PI398471,3,8
PI398473,2,8
PI398474,2,8
PI398476,1,8
PI398477,2,8
PI398478,2,8
PI398479,2,8
PI398480,2,8
PI398481,4,8
PI398483,3,8
PI398485,2,8
PI398487,2,8
PI398488,3,8
PI398496,3,8
PI398497,3,8
PI398498,2,8
PI398500,3,8
PI398502,3,8
PI398506,3,8
PI398507,1,8
PI398508,3,8
PI398509,1,8
PI398510,2,8
PI398511,2,8
PI398512,2,8
PI398513,1,8
PI398515,3,8
PI398517,5,8
PI398518,2,8
PI398520,2,8
PI398521,1,8
PI398524,2,8
PI398525,1,8
PI398526,1,8
PI398527,1,8
PI398528,2,8
PI398530,2,8
PI398533,5,8
PI398534,4,8
PI398535,3,8
PI398536,2,8
PI398538,3,8
PI398539,4,8
PI398541,3,8
PI398542,3,8
PI398543,2,8
PI398544,2,8
PI398545,3,8
PI398546,2,8
PI398547,5,8
PI398548,3,8
PI398550,2,8
PI398552,1,8
PI398553,2,8
PI398554,3,8
PI398555,2,8
PI398556,2,8
PI398557,2,8
PI398560,2,8
PI398561,2,8
PI398562,2,8
PI398563,3,8
PI398564,4,8
PI398567,4,8
PI398568,3,8
PI398569,2,8
PI398570,2,8
PI398571,3,8
PI398573,2,8
PI398574,1,8
PI398575,2,8
PI398576,2,8
PI398577,2,8
PI398578,2,8
PI398579,2,8
PI398580,2,8
PI398581,2,8
PI398582,2,8
PI398583,2,8
PI398584,2,8
PI398585,4,8
PI398586,1,8
PI398587,4,8
PI398589,3,8
PI398590,3,8
PI398591,2,8
PI398592,3,8
PI398593,3,8
PI398594,5,8
PI398595,3,8
PI398596,3,8
PI398597,2,8
PI398598,2,8
PI398602,3,8
PI398603,3,8
PI398605,2,8
PI398606,2,8
PI398607,2,8
PI398608,4,8
PI398610,3,8
PI398611,2,8
PI398612,2,8
PI398613,1,8
PI398614,3,8
PI398616,2,8
PI398618,3,8
PI398622,3,8
PI398623,3,8
PI398627,2,8
PI398629,2,8
PI398630,3,8
PI398632,3,8
PI398633,3,8
PI398635,5,8
PI398646,3,8
PI398647,2,8
PI398648,3,8
PI398649,2,8
PI398650,2,8
PI398651,1,8
PI398653,3,8
PI398658,2,8
PI398659,2,8
PI398660,2,8
PI398661,2,8
PI398662,2,8
PI398663,2,8
PI398665,2,8
