acid,SCN3.491576,SCN3code.491576
PI464911,5,5
PI476350A,5,4.8
PI497955,5,5
PI524994,5,4.3
PI506492,5,4.7
PI506554,5,4.7
PI506584,5,5
PI506736,5,5
PI506777,5,5
PI507426,5,5
PI507550,5,4
PI507551,5,4
PI507562,5,5
PI467317,5,4.3
PI467315,5,4.8
PI464895,5,5
PI506503,5,4.8
PI507052,5,4.8
PI507055,5,4.8
PI507159,5,5
PI507218,5,4.8
PI507242,5,4.8
PI507256,5,4.8
PI507308,5,4.4
PI507336,5,4.5
PI507388,5,5
PI518833,5,4.8
PI507711A,5,5
PI475822A,5,5
PI518703,5,4.8
PI540739,5,4.8
PI507319,5,5
PI464882,5,5
PI467308A,5,4.2
PI467311C,5,4.5
PI467311D,5,4.1
PI475831,5,5
PI476348,5,5
PI479709,5,5
PI479728B,5,4.7
PI479731,5,5
PI479734,5,5
PI507355,5,5
PI532468,5,5
PI495831,5,5
PI464865,5,4.8
PI467307,5,4.8
PI467314,5,4.5
PI467339,5,4.6
PI468378,5,5
PI479714,5,5
PI507701,5,5
PI507711B,5,5
PI507712,5,4.9
PI518706C,5,5
PI518709,5,4.6
PI518752,5,5
PI506700,5,5
PI507524,5,5
PI464896,5,5
PI464902,5,4.7
PI467311A,5,4.4
PI467324,5,4
PI475830,5,5
PI476345,5,5
PI479759,5,4
PI495832,5,5
PI507697,5,5
PI518707,5,4.7
PI518710,5,5
PI532439,5,4.9
PI532441A,5,5
PI503337,5,5
PI506678,5,5
PI538388,5,5
PI467318A,5,4
PI479728A,5,5
PI464923,5,4.4
PI467342,5,4.9
PI475817,5,5
PI479719,5,4.5
PI479758,5,5
PI507695,5,5
PI512322B,5,4.6
PI504485,5,5
PI464898,5,4.8
PI479710,5,5
PI507696B,5,5
PI507715B,5,5
PI506895,5,4.4
PI518750,5,4.9
PI467311E,5,4.4
PI467336,5,4.8
PI467343,5,4
PI467346,5,4.5
PI475829B,5,5
PI479762,5,4.7
PI491579,5,5
PI507373,5,4.8
PI467333,5,5
PI467335A,5,4.8
PI507229,5,5
PI473573,5,5
PI507521,5,5
PI509098,5,5
PI497958,5,5
PI497968,5,5
PI504495,5,5
PI504507,5,4.9
PI508295,5,5
PI508297,5,5
PI508298,5,5
PI509076,5,4.7
PI509077,5,5
PI509078,5,5
PI509081,5,5
PI509082,5,5
PI509084,5,5
PI509090,5,5
PI509091A,5,5
PI509091B,5,5
PI509092,5,4.9
PI509093,5,5
PI509094,5,5
PI509096,5,5
PI509097,5,5
PI509099,5,5
PI509101,5,5
PI509103,5,5
PI509104,5,4.8
PI509106,5,5
PI509108,5,5
PI518284,5,5
PI518288,5,5
PI518295,5,5
PI518296,5,5
PI518721,5,4.8
PI518723,5,4.9
PI518727,5,5
PI518728,5,4.9
PI520732,5,5
PI511866,5,5
PI464875B,5,4.3
PI464876,5,5
PI464881,5,4.8
PI464886,5,5
PI464900,5,4.8
PI467313,5,4.4
PI467319,5,4
PI467344,5,5
PI467345,5,4.7
PI468921,5,5
PI468922,5,4.3
PI470929,5,5
PI473572,5,4.8
PI475825,5,5
PI475827,5,4.8
PI476347,5,5
PI476349,5,4.5
PI479715,5,5
PI479757,5,5
PI479761,5,5
PI491578,5,5
PI494525,5,5
PI503335,5,5
PI503336,5,5
PI503339A,5,5
PI503339B,5,5
PI504483B,5,5
PI504492,5,5
PI507670,5,5
PI507673,5,4.9
PI507674,5,5
PI507675,5,4.9
PI507677,5,5
PI507679A,5,5
PI507679B,5,5
PI507680,5,5
PI507681A,5,5
PI507682,5,5
PI507685B,5,5
PI507686A,5,5
PI507687B,5,5
PI507702,5,5
PI507706,5,5
PI507710,5,5
PI509113,5,4.7
PI511868,5,5
PI511869,5,5
PI512323,5,4.7
PI514671,5,5
PI514672,5,5
PI518291B,5,4.9
PI518702,5,5
PI518704,5,4.9
PI518705,5,4.7
PI518706A,5,4.9
PI518706B,5,5
PI518831,5,5
PI532436A,5,5
PI532438,5,5
PI538393,5,5
PI538395,5,5
PI538398,5,5
PI506471,5,4.8
PI506472,5,5
PI506473,5,4.3
PI506475,5,4.8
PI506485,5,4.9
PI506486,5,4.5
PI506487,5,4.1
PI506490,5,4.8
PI506494,5,4.8
PI506495,5,5
PI506496,5,5
PI506497,5,5
PI506499,5,4.6
PI506500,5,5
PI506501,5,4
PI506502,5,5
PI506504,5,5
PI506505,5,4.7
PI506506,5,4.7
PI506507,5,5
PI506509,5,4.2
PI506510,5,5
PI506512,5,4.6
PI506517,5,5
PI506531,5,5
PI506533,5,5
PI506534,5,5
PI506535,5,5
PI506536,5,5
PI506538,5,5
PI506539,5,5
PI506540,5,4.6
PI506541,5,5
PI506542,5,5
PI506543,5,5
PI506544,5,5
PI506545,5,5
