acid,CHLOROSIS,
PI507712,2.5,8
PI507717,2.5,8
PI508084,4,8
PI518703,1.5,8
PI518707,3,8
PI518709,2.5,8
PI518710,3,8
PI518750,4,8
PI518752,2.7,8
PI518753,3,8
PI518754,2.7,8
PI518758,2.5,8
PI522189,3.5,8
PI522190,4,8
PI532439,3,8
PI532447,3,8
PI532468,2,8
PI532469,2.5,8
PI532471,2,8
PI533657,2.5,8
PI538388,3,8
PI539862,4,8
PI539863,3,8
PI539864,3.5,8
PI539865,3,8
PI540554,2.3,8
PI540739,1.5,8
PI542042,3,8
PI542768,3,8
PI546038,2.5,8
PI546487,2.5,8
PI547795,3,8
PI547796,1.5,8
PI547797,1.3,8
PI547803,4.5,8
PI547805,2.5,8
PI547806,4,8
PI547807,3,8
PI547808,3.5,8
PI547817,3,8
PI548164,2.7,8
PI548185,3.5,8
PI548238,4,8
PI548240,2,8
PI548241,2.5,8
PI548249,0.7,8
PI548251,2,8
PI548258,5,8
PI548280,2,8
PI548285,2.5,8
PI548291,2,8
PI548292,2.5,8
PI548307,4,8
PI548310,3,8
PI548312,4,8
PI548319,2,8
PI548322,4,8
PI548329,2,8
PI548336,2.5,8
PI548345,2.5,8
PI548355,2,8
PI548370,2,8
PI548375,2.5,8
PI548378,3,8
PI548380,2.5,8
PI548384,3,8
PI548385,3.5,8
PI548393,1,8
PI548394,3,8
PI548396,3.5,8
PI548405,1,8
PI548407,2.7,8
PI548417,3.5,8
PI548420,3.5,8
PI548433,1.5,8
PI548508,2,8
PI548509,2,8
PI548516,4,8
PI548519,2.5,8
PI548524,2.5,8
PI548526,4,8
PI548530,3,8
PI548531,2.5,8
PI548536,2.5,8
PI548550,2.7,8
PI548551,3.7,8
PI548561,3,8
PI548571,3,8
PI548572,3.3,8
PI548581,2,8
PI548588,3,8
PI548599,3.5,8
PI548610,2,8
PI548611,2,8
PI548618,3,8
PI548620,4.3,8
PI548625,2,8
PI548629,3.5,8
PI548641,3.5,8
PI548647,2.5,8
PI548680,2.5,8
