acid,Fe026,
PI567295,4,8
PI567391,5,8
PI578309,5,8
PI578312,2,8
PI578314,5,8
PI578317,4,8
PI578326,5,8
PI578331,3,8
PI578333,5,8
PI578334,3,8
PI578459,5,8
PI578467,2,8
PI578472,5,8
PI578484,4,8
PI587552,5,8
PI587554,4,8
PI587562,4,8
PI587569,5,8
PI587571,2,8
PI587578,5,8
PI587581,4,8
PI587582,2,8
PI587584,5,8
PI587586,5,8
PI587590,2,8
PI587591,3,8
PI587593,5,8
PI587594,5,8
PI587602,3,8
PI587613,4,8
PI587614,5,8
PI587615,5,8
PI587617,5,8
PI587621,5,8
PI587623,5,8
PI587624,5,8
PI587626,5,8
PI587635,5,8
PI587638,5,8
PI587640,3,8
PI587644,3,8
PI587649,5,8
PI587653,2,8
PI587654,4,8
PI587655,5,8
PI587656,5,8
PI587657,4,8
PI587663,3,8
PI587665,4,8
PI587666,2,8
PI587669,5,8
PI587671,5,8
PI587672,5,8
PI587673,5,8
PI587675,5,8
PI587676,2,8
PI587677,3,8
PI587679,6,8
PI587680,6,8
PI587683,5,8
PI587685,4,8
PI587688,6,8
PI587689,3,8
PI587691,4,8
PI587693,3,8
PI587694,2,8
PI587695,5,8
PI587697,5,8
PI587699,3,8
PI587701,5,8
PI587702,5,8
PI587704,4,8
PI587706,5,8
PI587707,4,8
PI587708,5,8
PI587710,4,8
PI587711,5,8
PI587720,4,8
PI587727,4,8
PI587731,3,8
PI587732,5,8
PI587733,5,8
PI587735,2,8
PI587737,5,8
PI587738,4,8
PI587740,2,8
PI587741,6,8
PI587743,4,8
PI587747,3,8
PI587748,3,8
PI587749,3,8
PI587750,3,8
PI587751,5,8
PI587754,4,8
PI587755,3,8
PI587756,5,8
PI587759,5,8
PI587760,4,8
PI587761,5,8
PI587762,5,8
PI587763,4,8
PI587764,3,8
PI587765,4,8
PI587766,3,8
PI587768,5,8
PI587769,3,8
PI587770,4,8
PI587774,5,8
PI587775,5,8
PI587776,5,8
PI587784,4,8
PI587791,5,8
PI587793,5,8
PI587794,5,8
PI587795,4,8
PI587797,5,8
PI587800,3,8
PI587801,4,8
PI587802,5,8
PI587807,3,8
PI587813,3,8
PI587816,4,8
PI587817,5,8
PI587818,5,8
PI587823,5,8
PI587824,4,8
PI587826,5,8
PI587827,2,8
PI587828,5,8
PI587829,2,8
PI587831,3,8
PI587833,2,8
PI587834,5,8
PI587835,2,8
PI587837,2,8
PI587838,2,8
PI587840,5,8
PI587842,4,8
PI587847,4,8
PI587852,3,8
PI587853,4,8
PI587857,4,8
PI587860,5,8
PI587865,5,8
PI587866,3,8
PI587867,5,8
PI587868,5,8
PI587869,5,8
PI587870,3,8
PI587871,3,8
PI587872,3,8
PI587876,4,8
PI587878,2,8
PI587879,4,8
PI587881,2,8
PI587882,4,8
PI587884,2,8
PI587886,2,8
PI587889,5,8
PI587894,5,8
PI587895,5,8
PI587896,4,8
PI587898,5,8
PI587899,2,8
PI587901,4,8
PI587904,3,8
PI587905,4,8
PI587972,5,8
PI587974,2,8
PI587975,5,8
PI587993,5,8
PI588001,4,8
PI588003,4,8
PI588004,5,8
PI588018,5,8
PI588020,2,8
PI588040,4,8
PI588051,5,8
PI593984,5,8
PI593985,3,8
PI593986,3,8
PI593987,3,8
PI593989,5,8
PI593990,5,8
PI593998,5,8
PI594001,2,8
PI594002,2,8
PI594003,2,8
PI088816S,3,9
PI092707S,5,9
PI157487A,5,9
PI159923A,5,9
PI269518A,2,9
PI269518B,3,9
PI269518C,2,9
PI407781C,1,9
PI407868C,4,9
PI407872B,2,9
PI407898B,4,9
PI408067B,5,9
PI408092C,3,9
PI408109B,2,9
PI408169C,5,9
PI408184B,3,9
PI408191B,2,9
PI408259B,4,9
PI408265C,2,9
PI408269C,5,9
PI408296B,1,9
PI408318B,5,9
PI408332B,2,9
PI423736B,2,9
PI423930B,4,9
PI424156B,5,9
PI424157A,2,9
PI424157B,3,9
PI424164B,3,9
PI424172B,5,9
PI424172C,5,9
PI424178C,4,9
PI424182B,3,9
PI424182C,2,9
PI430600C,5,9
PI438282B,4,9
PI442003B,2,9
PI506585A,4,9
PI506735A,5,9
PI506735B,5,9
PI507117A,2,9
PI507117B,5,9
PI507216A,5,9
PI507216B,5,9
PI567181A,5,9
PI567181B,5,9
PI567189A,2,9
PI567189B,2,9
PI567232A,2,9
PI567232B,4,9
PI567404F,3,9
PI567683B,2,9
PI578306A,3,9
PI578306B,3,9
PI578307A,3,9
PI578307C,2,9
PI578308A,4,9
PI578308B,3,9
PI578311A,4,9
PI578311C,5,9
PI578313B,3,9
PI578318A,4,9
PI578319A,4,9
PI578319D,5,9
PI578319E,2,9
PI578319F,2,9
PI578323A,5,9
PI578323B,4,9
PI578328A,4,9
PI578328B,4,9
PI578328C,5,9
PI578329A,2,9
PI578329B,3,9
PI578329C,2,9
PI578332A,4,9
PI578332B,3,9
PI578332C,3,9
PI578446B,2,9
PI578471A,5,9
PI578471B,5,9
PI578471C,5,9
PI578485B,5,9
PI578488B,5,9
PI587550A,5,9
PI587550B,5,9
PI587550C,2,9
PI587555A,5,9
PI587555B,3,9
PI587557A,5,9
PI587557B,2,9
PI587557C,5,9
PI587558A,4,9
PI587558B,4,9
PI587558C,4,9
PI587559A,3,9
PI587559B,4,9
PI587560A,5,9
PI587560B,4,9
PI587560C,5,9
PI587563A,5,9
PI587563B,5,9
PI587563C,2,9
PI587564A,5,9
PI587564B,4,9
PI587564C,4,9
PI587565A,3,9
PI587565B,5,9
PI587565C,2,9
PI587566A,2,9
PI587566B,3,9
PI587567A,4,9
PI587568A,5,9
PI587568B,5,9
PI587570A,4,9
PI587570B,5,9
PI587572A,3,9
PI587572B,2,9
PI587573A,5,9
PI587573B,5,9
PI587574A,5,9
PI587574B,5,9
PI587575C,5,9
PI587577H,2,9
PI587577I,2,9
PI587579A,5,9
PI587579B,2,9
PI587579C,5,9
PI587580A,3,9
PI587583A,5,9
PI587583B,4,9
PI587583D,3,9
PI587592A,5,9
PI587592B,5,9
PI587595A,5,9
PI587595B,2,9
PI587595C,4,9
PI587596A,3,9
PI587596B,5,9
PI587597A,2,9
PI587597B,5,9
PI587598B,5,9
PI587600C,2,9
PI587601A,1,9
PI587601B,2,9
PI587601C,4,9
PI587601D,4,9
PI587601E,4,9
PI587603A,4,9
PI587603B,6,9
PI587603C,4,9
PI587603D,4,9
PI587604D,5,9
PI587606C,5,9
PI587606D,4,9
PI587608B,4,9
PI587608C,4,9
PI587612B,2,9
PI587612C,3,9
PI587612D,5,9
PI587612F,5,9
PI587618A,6,9
PI587622A,2,9
PI587622B,4,9
PI587625B,5,9
PI587627A,4,9
PI587627B,4,9
PI587630A,5,9
PI587630B,5,9
PI587631A,5,9
PI587632B,5,9
PI587633A,5,9
PI587633B,3,9
PI587633C,4,9
PI587633D,5,9
PI587634A,5,9
PI587634B,5,9
PI587634C,6,9
PI587641A,5,9
PI587641B,5,9
PI587658B,5,9
PI587659A,5,9
PI587659B,5,9
PI587660A,4,9
PI587660B,5,9
PI587661A,5,9
PI587662B,2,9
PI587664A,6,9
PI587664B,3,9
PI587668A,3,9
PI587668B,3,9
PI587668C,5,9
PI587670A,4,9
PI587670B,5,9
PI587682A,3,9
PI587682B,5,9
PI587684A,3,9
PI587684B,5,9
PI587686A,3,9
PI587686B,4,9
