acid,Fe32perc,
PI506878,0.086,8
PI506879,0.016,8
PI506884,0.005,8
PI506885,0.085,8
PI506886,0,8
PI506888,0.153,8
PI506902,0.138,8
PI506904,0.018,8
PI506905,0.013,8
PI506907,0.144,8
PI506908,0.101,8
PI506910,0.09,8
PI506914,0.013,8
PI506921,0.119,8
PI506922,0.105,8
PI506926,0.014,8
PI506939,0.084,8
PI506946,0.104,8
PI506948,0.013,8
PI506949,0.106,8
PI506950,0.087,8
PI506952,0.109,8
PI506953,0.013,8
PI506955,0.153,8
PI506956,0.024,8
PI506957,0.078,8
PI506958,0.129,8
PI506959,0.121,8
PI506960,0.099,8
PI506962,0.112,8
PI506963,0.151,8
PI506964,0.078,8
PI506965,0.008,8
PI506966,0.006,8
PI506967,0.127,8
PI506968,0.11,8
PI506970,0.007,8
PI506971,0.123,8
PI506972,0.093,8
PI506974,0.119,8
PI506975,0.019,8
PI506976,0.081,8
PI506977,0.113,8
PI506978,0.106,8
PI506979,0.112,8
PI506980,0.017,8
PI506981,0.109,8
PI506984,0.122,8
PI506985,0.118,8
PI506990,0.003,8
PI506991,0.111,8
PI506996,0.097,8
PI507001,0.142,8
PI507002,0.021,8
PI507003,0.131,8
PI507005,0.084,8
PI507006,0.028,8
PI507007,0.167,8
PI507008,0.131,8
PI507009,0.015,8
PI507010,0.094,8
PI507011,0.112,8
PI507012,0.114,8
PI507024,0.025,8
PI507030,0.095,8
PI507036,0.141,8
PI507037,0.106,8
PI507039,0.101,8
PI507041,0.01,8
PI507042,0.007,8
PI507043,0.106,8
PI507044,0.106,8
PI507049,0.142,8
PI507050,0.136,8
PI507057,0.003,8
PI507059,0.154,8
PI507068,0.096,8
PI507069,0.097,8
PI507070,0.102,8
PI507074,0.108,8
PI507075,0.036,8
PI507078,0.112,8
PI507084,0.139,8
PI507085,0.093,8
PI507088,0.098,8
PI507099,0.097,8
PI507103,0.094,8
PI507105,0.119,8
PI507109,0.008,8
PI507111,0.032,8
PI507112,0.042,8
PI507113,0.122,8
PI507114,0.026,8
PI507116,0.113,8
PI507118,0.143,8
PI507119,0.112,8
PI507120,0.135,8
PI507122,0.099,8
PI507136,0.123,8
PI507137,0.006,8
PI507140,0.038,8
PI507142,0.097,8
PI507143,0.108,8
PI507156,0.026,8
PI507187,0.11,8
PI507192,0.078,8
PI507194,0.119,8
PI507202,0.101,8
PI507205,0.101,8
PI507206,0.052,8
PI507207,0.006,8
PI507208,0.118,8
PI507210,0.034,8
PI507211,0.011,8
PI507214,0.004,8
PI507215,0.081,8
PI507219,0.017,8
PI507220,0.071,8
PI507223,0.075,8
PI507224,0.037,8
PI507225,0.017,8
PI507228,0.092,8
PI507231,0.043,8
PI507236,0.103,8
PI507247,0.048,8
PI507249,0.037,8
